Latitude,Longitude,Date,inspect,cw,limited_inspect,sfm_inspect
40.258027,-80.194696,2021_05_06_147_06,1,0,0,1
40.441743,-80.02169,2021_05_06_147_06,0,1,0,0
40.440705,-80.01889,2021_05_06_147_06,0,2,0,0
40.440841,-80.006757,2021_05_06_147_06,1,3,1,1
40.441179,-80.005638,2021_05_06_147_06,1,4,1,1
40.440535,-80.004389,2021_05_06_147_06,1,5,0,1
40.440052,-80.004731,2021_05_06_147_06,1,6,0,1
40.439585,-80.005031,2021_05_06_147_06,1,7,0,1
40.439073,-80.003649,2021_05_06_147_06,1,8,0,1
40.43778,-80.000182,2021_05_06_147_06,1,9,0,1
40.438212,-79.999893,2021_05_06_147_06,1,10,0,1
40.438738,-79.99955,2021_05_06_147_06,1,11,0,1
40.440809,-79.99816,2021_05_06_147_06,1,12,0,1
40.441449,-79.99775,2021_05_06_147_06,1,13,0,1
40.442149,-79.997296,2021_05_06_147_06,1,14,0,1
40.44284,-79.996814,2021_05_06_147_06,1,15,0,1
40.443792,-79.993872,2021_05_06_147_06,1,16,0,1
40.182752,-80.263247,,1,17,0,1
40.441369,-80.005804,,1,18,1,1
40.441072,-80.006801,,1,19,1,1
40.402199,-80.094698,,0,20,0,0
40.405939,-80.089837,,0,21,0,0
40.441706,-80.002678,,0,22,0,0
